node,in_degree,out_degree,pagerank,betweenness,clustering
georgediano,54,0,0.000291910122099186,0.0,0.000725689404934688
hebabuowino,35,0,0.0002913497417000205,0.0,0.0
dushinjenga,48,24,0.0002912093522869742,0.00020093778611768334,0.030907668231611892
njoks_mungai,28,3,0.00029114925179015214,3.293356177422425e-05,0.008602150537634409
ojimmycee,25,0,0.000290968306349465,0.0,0.0
nationafrica,44,0,0.0002907136629022173,0.0,0.0023228803716608595
gwamaee,54,3,0.00029038430871362067,3.6790768087170145e-06,0.009783368273934312
ninanyce,36,0,0.00029034998325234545,0.0,0.0
mukuriahwalter,3,0,0.00029001618029792983,0.0,0.0
baesquiat,23,0,0.00028957062591729803,0.0,0.003952569169960474
revoltmankuyio,9,0,0.00028925481879267805,0.0,0.05555555555555555
kamwari_,26,8,0.00028890619124326614,0.0001068664535540606,0.02462121212121212
musaliamudavadi,45,0,0.0002888540832316358,0.0,0.0
nicr1zzyyy,58,0,0.0002864592090051023,0.0,0.0006049606775559589
vilita_lucy,24,13,0.0002864402000631003,0.0,0.02252252252252252
karanja_mwaniki,2,37,0.0002861349434399375,0.0011397064248863226,0.03218390804597701
kevmagana,1,0,0.0002854907869655724,0.0,0.0
maskani254,7,2,0.00028498205152854286,0.0,0.0
vannex65569541,18,0,0.0002846717071984749,0.0,0.0
_reamus,43,0,0.0002838292464923379,0.0,0.0011614401858304297
mr_umbwakni,44,0,0.0002823604651715197,0.0,0.0
asswetooo,32,0,0.0002822182657566148,0.0,0.0
nanjiegalgalo,44,7,0.0002807789709098665,0.0,0.01019607843137255
estherwaduu,1,15,0.0002795862672111747,0.00026810108372072965,0.054945054945054944
frediethuz,9,2,0.00027956568548622373,0.0,0.0
josh001j,40,0,0.0002775071454342627,0.0,0.0
mapinduzike,34,3,0.000277463822232383,7.633733104892442e-05,0.014112903225806451
miss_muthoni_,32,1,0.000276337896135374,4.038961863062377e-05,0.001893939393939394
justkimathi,29,0,0.00027402589193034746,0.0,0.0024630541871921183
brenda_ogo30333,59,0,0.0002736048515037277,0.0,0.004705882352941176
ed_wainaina,27,3,0.00027267347827920473,5.8678034320524324e-05,0.004597701149425287
nikki_agola,38,0,0.0002722880753584979,0.0,0.0
grok,23,0,0.0002711240918396555,0.0,0.0
mx_kalani,20,0,0.0002708758947641542,0.0,0.0
onyangobryan20,3,2,0.0002687795874467295,0.0,0.0
copythatke,40,6,0.00026645000234996565,0.00012549019607843137,0.029036004645760744
wehaveblood,11,0,0.00026564543401763044,0.0,0.03636363636363636
gurale_,41,0,0.00026306162340280684,0.0,0.0
briankariu,29,0,0.00026143531452689804,0.0,0.0
shikumungai_,42,0,0.0002613113788527723,0.0,0.0
meransays,36,0,0.00026097695646858224,0.0,0.0015873015873015873
stacymandy1,37,1,0.00026015350949045867,9.518370454978107e-07,0.0
